state,code,institution,state_full,cares_act,omnibus,amer_rescue_act,total_relief,endowment
CT,00140300,Sacred Heart University,Connecticut,4305177,6550955,11652000,22508132,177133000
WA,00377600,Everett Community College,Washington,3327536,6893997,12254000,22475533,0
MO,00249800,Park University,Missouri,2805843,7132764,12514000,22452607,0
FL,00146900,Florida Institute Of Technology,Florida,3607645,6819739,12013000,22440384,87759000
TN,00991400,Roane State Community College,Tennessee,3314382,6955614,12163000,22432996,0
KY,00199700,Somerset Community College,Kentucky,3029445,7072505,12320000,22421950,0
SD,00347400,University Of South Dakota,South Dakota,3634766,6766389,11975000,22376155,244474000
AZ,00107400,Grand Canyon University,Arizona,22351397,0,0,22351397,0
DC,00144100,University Of The District Of Columbia,District of Columbia,3609526,6814702,11912000,22336228,0
NC,00531800,Catawba Valley Community College,North Carolina,2557958,5203663,14559000,22320621,0
MS,00241100,Jones County Junior College,Mississippi,3808681,6717113,11741000,22266794,0
AR,00110700,Southern Arkansas University,Arkansas,4025613,6634144,11587000,22246757,0
OK,00918500,Rose State College,Oklahoma,3084740,6949136,12194000,22227876,0
CO,00954300,Red Rocks Community College,Colorado,3149018,6889441,12160000,22198459,0
AR,03063300,Northwest Arkansas Community College,Arkansas,3113618,6897894,12153000,22164512,0
GA,00562400,Columbus Technical College,Georgia,3131902,6948954,12081000,22161856,0
SC,00344600,South Carolina State University,South Carolina,4062087,6611191,11484000,22157278,0
CT,00139900,Norwalk Community College,Connecticut,3189661,6885402,12059000,22134063,0
MO,00249000,Missouri Western State University,Missouri,3722351,6689868,11705000,22117219,0
GA,00561800,Savannah Technical College,Georgia,3257084,6876107,11980000,22113191,0
CA,04253400,Clovis Community College,California,2870984,6951508,12276000,22098492,0
NY,03802300,Uta Mesivta Of Kiryas Joel,New York,4265324,6530186,11301000,22096510,0
FM,01034300,College Of Micronesia-Fsm,Micronesia,3640313,6749563,11684000,22073876,0
MN,00237000,North Hennepin Community College,Minnesota,3021425,6915297,12128000,22064722,0
IA,00459800,Iowa Western Community College,Iowa,3175383,6848417,12013000,22036800,0
IL,00989600,Oakton Community College,Illinois,2762839,6923930,12344000,22030769,5605000
IL,00174700,Rock Valley College,Illinois,3290405,6777335,11948000,22015740,0
CA,03695700,Santiago Canyon College,California,2893906,6866798,12250000,22010704,0
PA,00681100,Luzerne County Community College,Pennsylvania,3206325,6817714,11920000,21944039,0
